연번,업체명,대표자명(익명),벤처확인유형,지역,주소,업종분류(기보),업종명(11차),주생산품,벤처유효시작일,벤처유효종료일,벤처확인기관,신규_재확인
135,쿠기,김**,연구개발유형,경기,경기도 군포시,제조업,그 외 기타 특수목적용 기계 제조업,비파괴 초음파 검사 장비 및 서비스,2023-06-21,2026-06-20,벤처기업확인기관,신규
136,주식회사 지니컵,양**,혁신성장유형,경기,경기도 수원시,제조업,그 외 기타 고무제품 제조업,여성 위생용품,2023-06-07,2026-06-06,벤처기업확인기관,신규
137,주식회사 엔하스,임**,혁신성장유형,충남,충청남도 태안군,제조업,배전반 및 전기 자동제어반 제조업,"계장제어장치, 프로세스제어반, HMI",2023-05-03,2026-05-02,벤처기업확인기관,재확인
138,주식회사 애디팬더,최**,혁신성장유형,서울,서울특별시 영등포구,제조업,화장품 제조업,화장품,2023-05-10,2026-05-09,벤처기업확인기관,신규
139,주식회사 더이노베이터스,최**,연구개발유형,인천,인천광역시 연수구,정보처리S/W,응용 소프트웨어 개발 및 공급업,"액셀러레이팅, 창업기업 컨설팅, 기술 개발",2023-06-14,2026-06-13,벤처기업확인기관,신규
140,주식회사 다산카이스,염**,연구개발유형,경기,경기도 안양시,정보처리S/W,응용 소프트웨어 개발 및 공급업,"스마트 아파트 솔루션: 아파트 비상호출 시스템, 스마트 패스 시스템, LED 주차유도/관제 시스템",2023-06-14,2026-06-13,벤처기업확인기관,신규
141,주식회사 지인테크,오**,혁신성장유형,경기,경기도 화성시,제조업,그 외 기타 특수목적용 기계 제조업,"이차전지 제조 장비, LCD 및 반도체 제조 장비",2023-06-14,2026-06-13,벤처기업확인기관,신규
142,상상테크,이**,혁신성장유형,경기,경기도 화성시,제조업,그 외 기타 전자부품 제조업,반도체부품 ,2023-05-10,2026-05-09,벤처기업확인기관,신규
143,올라운드컴바인,서**,혁신성장유형,서울,서울특별시 강남구,도소매업,전자상거래 소매업,화장품,2023-08-03,2026-08-02,벤처기업확인기관,신규
144,선광전자 주식회사,심**,혁신성장유형,인천,인천광역시 남동구,제조업,그 외 기타 전자부품 제조업,프레스 자동화 방호장치,2023-05-24,2026-05-23,벤처기업확인기관,재확인
145,주식회사 유성이앤지,장**,혁신성장유형,경남,경상남도 창원시,제조업,전자 응용 절삭기계 제조업,레이저마킹기,2023-06-28,2026-06-27,벤처기업확인기관,신규
146,주식회사 터넬,김**,벤처투자유형,울산,울산광역시 울주군,제조업,기타 반도체소자 제조업,메모리용 전자직접회로 ,2023-05-10,2026-05-09,벤처기업확인기관,신규
147,중일전기㈜,임**,혁신성장유형,경남,경상남도 양산시,제조업,전동기 및 발전기 제조업,발전기,2023-05-17,2026-05-16,벤처기업확인기관,재확인
148,태사자,박**,혁신성장유형,서울,서울특별시 도봉구,정보처리S/W,응용 소프트웨어 개발 및 공급업,교육콘텐츠 애플리케이션 ,2023-05-31,2026-05-30,벤처기업확인기관,신규
149,주식회사 에코원,송**,혁신성장유형,경기,경기도 김포시,제조업,그 외 기타 플라스틱 제품 제조업,"자동차매트,패드,무선충전기,스포츠레져용품",2023-08-03,2026-08-02,벤처기업확인기관,신규
150,케이에이,가**,혁신성장유형,충남,충청남도 천안시,제조업,"전기회로 개폐, 보호장치 제조업","자동화 제어관련 개발업무, 자동 제어반 제작",2023-07-12,2026-07-11,벤처기업확인기관,신규
151,주식회사 지테크인터내셔날,한**,혁신성장유형,경기,경기도 의정부시,제조업,"용기 세척, 포장 및 충전기 제조업","계량시스템,전자저울,음식물종량기,손소독기외",2023-05-10,2026-05-09,벤처기업확인기관,재확인
152,영보산업,"최**,김**",혁신성장유형,경남,경상남도 김해시,제조업,그 외 기타 일반목적용 기계 제조업,기계 장비 및 부품,2023-05-24,2026-05-23,벤처기업확인기관,신규
153,콘텐츠쿡,김**,혁신성장유형,경기,경기도 구리시,정보처리S/W,응용 소프트웨어 개발 및 공급업,이러닝콘텐츠개발 및 공급,2023-05-03,2026-05-02,벤처기업확인기관,신규
154,주식회사 채웅,채**,혁신성장유형,경기,경기도 남양주시,제조업,구조용 금속 판제품 및 공작물 제조업,전기차캐노피제작,2023-05-03,2026-05-02,벤처기업확인기관,재확인
155,주식회사 티앤비컴퍼니,남**,혁신성장유형,경기,경기도 화성시,제조업,그 외 기타 고무제품 제조업,물안경 수영모자 등,2023-07-05,2026-07-04,벤처기업확인기관,신규
156,(주)내강산업,"김**,장**",혁신성장유형,대구,대구광역시 달성군,제조업,기어 및 동력전달장치 제조업,"수문권양기, 수문, 동력밸브개폐기 외",2023-05-24,2026-05-23,벤처기업확인기관,신규
157,우신그린산업㈜,김**,혁신성장유형,경기,경기도 시흥시,제조업,육상 금속 골조 구조재 제조업,도로안전시설물 충격흡수시설,2023-06-14,2026-06-13,벤처기업확인기관,재확인
158,주식회사 비스코스,조**,혁신성장유형,서울,서울특별시 금천구,제조업,화장품 제조업,화장품 ,2023-05-31,2026-05-30,벤처기업확인기관,신규
159,(주)파이온,김**,연구개발유형,충남,충청남도 아산시,제조업,배전반 및 전기 자동제어반 제조업,자동화장비 제조,2023-05-31,2026-05-30,벤처기업확인기관,신규
160,주식회사 에버,반**,혁신성장유형,경기,경기도 남양주시,기타,지정 외 폐기물 처리업,중간가공폐기물 제조,2023-05-24,2026-05-23,벤처기업확인기관,신규
161,(주)만개의레시피,이**,혁신성장유형,서울,서울특별시 금천구,정보처리S/W,포털 및 기타 인터넷 정보매개 서비스업,컨텐츠,2023-06-07,2026-06-06,벤처기업확인기관,신규
162,주식회사 에이투어스,이**,혁신성장유형,경기,경기도 부천시,제조업,그 외 기타 전자부품 제조업,정전분무 관련된 전자부품 ,2023-05-03,2026-05-02,벤처기업확인기관,신규
163,주식회사 다인테크,이**,혁신성장유형,대전,대전광역시 유성구,제조업,"물질 검사, 측정 및 분석기구 제조업","단결정 세포박피기, 나이프,  고내열난삭 신소재 가공",2023-05-31,2026-05-30,벤처기업확인기관,신규
164,에이에프 주식회사,김**,혁신성장유형,경북,경상북도 칠곡군,제조업,산업용 송풍기 및 배기장치 제조업,산업용필터,2023-05-03,2026-05-02,벤처기업확인기관,신규
165,주식회사 태극,최**,혁신성장유형,충북,충청북도 충주시,제조업,"플라스틱 포대, 봉투 및 유사제품 제조업","종량제봉투, 음식물쓰레기봉투,재활용봉투,일반봉투,비포봉투,롤백,호일",2023-05-24,2026-05-23,벤처기업확인기관,신규
166,주식회사 바이트랩,조**,혁신성장유형,서울,서울특별시 강남구,도소매업,전자상거래 소매업,"반려동물용품, 건강식품, 화장품",2023-09-13,2026-09-12,벤처기업확인기관,신규
167,비로컬 주식회사,"김**,윤**",벤처투자유형,서울,서울특별시 관악구,정보처리S/W,응용 소프트웨어 개발 및 공급업,로컬 생태계 컨텐츠 제,2023-05-17,2026-05-16,벤처기업확인기관,재확인
168,에이지솔루션즈 주식회사,이**,혁신성장유형,대전,대전광역시 유성구,정보처리S/W,컴퓨터 프로그래밍 서비스업,"분전반, 패쇄형배전반, 전동기제어반, 프로그래머블로직컨트롤러",2023-06-07,2026-06-06,벤처기업확인기관,신규
169,주식회사 인스퍼넷,"장**,장**",연구개발유형,경기,경기도 화성시,제조업,기타 무선 통신장비 제조업,치과용 영상솔류션 장비,2023-05-10,2026-05-09,벤처기업확인기관,재확인
170,주식회사 베이스,이**,혁신성장유형,경기,경기도 하남시,도소매업,정밀기기 및 과학기기 도매업,유도결합플라즈마 질량분석기(ICP-MS),2023-07-20,2026-07-19,벤처기업확인기관,신규
171,주식회사 디에스씨,최**,혁신성장유형,경기,경기도 화성시,제조업,포장용 플라스틱 성형용기 제조업,플라스틱 포장재 제조업,2023-05-25,2026-05-24,벤처기업확인기관,신규
172,(주)태연금속,박**,혁신성장유형,경기,경기도 화성시,제조업,기타 1차 비철금속 제조업,알루미늄인고트,2023-07-12,2026-07-11,벤처기업확인기관,신규
173,㈜골드테크,"김**,천**",혁신성장유형,경북,경상북도 김천시,제조업,포장용 플라스틱 성형용기 제조업,식품용기,2023-05-10,2026-05-09,벤처기업확인기관,재확인
174,주식회사 경리법인 일조,최**,혁신성장유형,경기,경기도 용인시,정보처리S/W,응용 소프트웨어 개발 및 공급업,"경리업무 컨설팅 및 유지관리 서비스, 겨영관리 솔루션 소프트웨어 개발, 응용 소프트웨어 개발 및 공급업, 경영관리 솔루션 개발, 경영컨설팅 및 경영자문업",2023-05-10,2026-05-09,벤처기업확인기관,신규
175,블라우비트,김**,혁신성장유형,경기,경기도 성남시,연구개발서비스,전기ㆍ전자공학 연구개발업,딥러닝영상인식솔루션,2023-05-03,2026-05-02,벤처기업확인기관,신규
176,주식회사 더메이테크,한**,혁신성장유형,인천,인천광역시 부평구,건설운수,일반 통신 공사업,"자동제어설비, 계측제어설비, 비디오영상기기",2023-06-28,2026-06-27,벤처기업확인기관,신규
177,제이아이엔시스템 주식회사,김**,혁신성장유형,제주,제주특별자치도 제주시,정보처리S/W,컴퓨터시스템 통합 자문 및 구축 서비스업,GNSS장비를 이용한 통합관제시스템 구축 등,2023-05-10,2026-05-09,벤처기업확인기관,신규
178,제이디하이텍(주),김**,혁신성장유형,인천,인천광역시 계양구,제조업,그 외 기타 전자부품 제조업,전자부품,2023-05-31,2026-05-30,벤처기업확인기관,신규
179,㈜이아이씨엔,송**,연구개발유형,서울,서울특별시 서초구,정보처리S/W,응용 소프트웨어 개발 및 공급업,기업용 전화솔루션IPCC) 및 CRM,2023-05-17,2026-05-16,벤처기업확인기관,재확인
180,(주)디메이커스,장**,혁신성장유형,경북,경상북도 상주시,제조업,무인 항공기 및 무인 비행장치 제조업,무인 항공기 및 로보,2023-05-03,2026-05-02,벤처기업확인기관,신규
181,진양메디 주식회사,박**,혁신성장유형,부산,부산광역시 해운대구,도소매업,의료기기 도매업,산소발생기,2023-08-03,2026-08-02,벤처기업확인기관,신규
182,주식회사 윌인스트루먼트,안**,연구개발유형,경기,경기도 수원시,제조업,반도체 제조용 기계 제조업,반도체 장비 및 부품 제조,2023-05-31,2026-05-30,벤처기업확인기관,신규
183,(주)듀팩장원기계,김**,혁신성장유형,인천,인천광역시 서구,제조업,그 외 기타 일반목적용 기계 제조업,제함기,2023-05-03,2026-05-02,벤처기업확인기관,신규
184,주식회사 비엠디,김**,혁신성장유형,충북,충청북도 청주시,기타,경영 컨설팅업,커피프랜차이즈,2023-05-11,2026-05-10,벤처기업확인기관,신규
185,주식회사 리벤처스,김**,벤처투자유형,대전,대전광역시 유성구,기타,"그 외 기타 분류 안된 전문, 과학 및 기술 서비스업",경영 컨설팅업,2023-05-03,2026-05-02,벤처기업확인기관,신규
186,주식회사 컬쳐커넥션,유**,혁신성장유형,경기,경기도 수원시,기타,일반 영화 및 비디오물 제작업,컴퓨터 프로그래밍 및 소프트웨어 개발,2023-05-31,2026-05-30,벤처기업확인기관,신규
187,(주)아이비베리,박**,혁신성장유형,서울,서울특별시 구로구,정보처리S/W,컴퓨터 프로그래밍 서비스업,클라우드 기술 기반 지불결제 중계서비스,2023-06-14,2026-06-13,벤처기업확인기관,재확인
188,주식회사 에이치쓰리알,송**,연구개발유형,대전,대전광역시 유성구,제조업,그 외 기타 달리 분류되지 않은 운송장비 제조업,"이모빌리티제품 및 부품, 2차전지",2023-06-07,2026-06-06,벤처기업확인기관,신규
189,주식회사 마인드앳플레이,이**,벤처투자유형,경기,경기도 고양시,기타,방송 프로그램 제작업,방송프로그램 제작,2023-05-17,2026-05-16,벤처기업확인기관,신규
190,주식회사 이클라우드에이아이,김**,벤처투자유형,서울,서울특별시 금천구,정보처리S/W,시스템 소프트웨어 개발 및 공급업,"수학사전, 온라인AI학습시스템",2023-05-10,2026-05-09,벤처기업확인기관,재확인
191,주식회사 제이에스비씨,주**,혁신성장유형,경남,경상남도 함안군,제조업,압축 및 액화 가스용기 제조업,압축및 액화가스용기,2023-06-14,2026-06-13,벤처기업확인기관,신규
192,에스에프씨랩 주식회사,강**,혁신성장유형,경기,경기도 시흥시,제조업,과실 및 그 외 채소 절임식품 제조업,"잼,콩포트,스프레드",2023-06-21,2026-06-20,벤처기업확인기관,신규
193,주식회사 엑소시그널,이**,연구개발유형,서울,서울특별시 광진구,연구개발서비스,의학 및 약학 연구개발업,조기 폐암진단용 IVDMIA,2023-05-31,2026-05-30,벤처기업확인기관,재확인
194,(사)힘찬장애인복지회,박**,연구개발유형,광주,광주광역시 광산구,제조업,배전반 및 전기 자동제어반 제조업,"수배전반,자동제어반",2023-05-03,2026-05-02,벤처기업확인기관,재확인
195,주식회사 지오필테크,이**,혁신성장유형,대전,대전광역시 유성구,제조업,산업용 송풍기 및 배기장치 제조업,필터및그응용제품 유해물질안전보관장치시약장,2023-06-14,2026-06-13,벤처기업확인기관,재확인
